#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496368197895268332	parsec.streamcluster	1400	44	1.000000	1.566000	1.663000	1401975634	133795	58027	461166906	1810416	1066077604	880
1496368198404672883	parsec.streamcluster	1400	44	1.000000	1.564000	1.660000	1401983790	136206	59460	460889384	1876396	1065876937	879
1496368198914192851	parsec.streamcluster	1400	44	1.000000	1.563000	1.659000	1402167286	134028	58384	460280862	1984084	1065111730	865
1496368199423738861	parsec.streamcluster	1400	44	1.000000	1.559000	1.655000	1401985133	134457	57880	460224320	1983982	1065153089	857
1496368199933089079	parsec.streamcluster	1400	45	1.000000	1.560000	1.656000	1401998497	131488	56725	460260289	1982749	1065210820	807
1496368200442840005	parsec.streamcluster	1400	45	1.000000	1.559000	1.655000	1401995299	134136	58193	459872344	1994759	1064546137	844
1496368200952273515	parsec.streamcluster	1400	45	1.000000	1.560000	1.656000	1401988289	130782	58228	459367077	2015354	1063746002	858
1496368201461652983	parsec.streamcluster	1400	45	1.000000	1.560000	1.656000	1401984412	132578	57171	459336117	2010570	1063487448	818
1496368201971059993	parsec.streamcluster	1400	45	1.000000	1.560000	1.656000	1401965456	131983	58326	459336030	2024639	1063536291	821
1496368202481094710	parsec.streamcluster	1400	45	1.000000	1.560000	1.656000	726464938	2782009	828772	215299812	1618818	479879776	12867
1496368202991286760	splash2x.barnes	1400	43	1.000000	0.575000	0.612000	773785558	8554957	2515761	168229355	2874237	325426401	40995
1496368203501624060	splash2x.barnes	1400	43	1.000000	0.828000	0.876000	772874855	8422496	2476627	172089408	2838192	339020843	40362
1496368204011980569	splash2x.barnes	1400	42	1.000000	0.814000	0.861000	772170965	8275410	2439743	176364289	2806469	354378725	39779
1496368204521662870	splash2x.barnes	1400	42	1.000000	0.828000	0.876000	769332466	4095993	1441559	176177913	2158114	423477265	22718
1496368205031295255	splash2x.barnes	1400	42	1.000000	0.989000	1.046000	1401361045	707589	322060	333641824	5731742	728331430	3328
1496368205540530723	splash2x.barnes	1400	43	1.000000	1.555000	1.651000	1402118302	104155	51970	490725980	6791569	1023454040	230
1496368206049800775	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1402145518	100257	57819	491123550	6256266	1024423070	227
1496368206558941701	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1401926924	102040	55675	491227696	6007006	1023521951	230
1496368207068098212	splash2x.barnes	1400	43	1.000000	1.565000	1.662000	1401929366	99766	61620	491031578	6350535	1024534670	228
1496368207577482221	splash2x.barnes	1400	43	1.000000	1.564000	1.660000	1401967244	101745	49336	491427731	6208718	1025724661	227
1496368208086791523	splash2x.barnes	1400	43	1.000000	1.567000	1.664000	1401934572	99620	55306	491301910	6466482	1026960425	227
1496368208596086908	splash2x.barnes	1400	43	1.000000	1.564000	1.660000	1401921070	102479	68897	489964638	6878926	1024256511	229
1496368209105255876	splash2x.barnes	1400	43	1.000000	1.562000	1.658000	1402115310	102940	75448	490114447	7584389	1022501509	231
1496368209614586720	splash2x.barnes	1400	43	1.000000	1.554000	1.650000	1401900648	101857	61475	489805062	7303664	1020861406	229
1496368210123931605	splash2x.barnes	1400	43	1.000000	1.553000	1.649000	1205487680	400214	151910	307918865	4611285	696306483	1844
1496368210633136531	splash2x.barnes	1400	43	1.000000	1.226000	1.300000	1401930244	106090	48342	491740249	4622254	1025609767	231
1496368211142437750	splash2x.barnes	1400	43	1.000000	1.557000	1.653000	1401930892	100153	43024	491268749	4891115	1024571284	228
1496368211651654635	splash2x.barnes	1400	43	1.000000	1.564000	1.660000	1401925584	101552	42652	491239422	5074099	1023000395	228
1496368212161010520	splash2x.barnes	1400	43	1.000000	1.565000	1.662000	1401921376	98082	43737	491368505	5112585	1024242217	225
1496368212670145530	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1401906516	101396	43915	491146744	4976975	1024260774	227
1496368213179302582	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1401940872	98591	43977	491547629	4830961	1026368283	223
1496368213688414800	splash2x.barnes	1400	43	1.000000	1.564000	1.660000	1401924888	100643	56993	491582562	4759064	1028007717	225
1496368214197884976	splash2x.barnes	1400	43	1.000000	1.555000	1.651000	1401904788	100024	55249	491515481	4506805	1026394496	223
1496368214707101195	splash2x.barnes	1400	43	1.000000	1.557000	1.653000	1401900948	103702	54618	491593306	4762943	1025140525	227
1496368215216744204	splash2x.barnes	1400	43	1.000000	1.551000	1.647000	1135738215	114665	54403	365555190	3722043	769476411	346
1496368215725973881	splash2x.barnes	1400	43	1.000000	1.093000	1.158000	1376193004	318160	124809	401026317	4146258	882763740	1281
1496368216235089141	splash2x.barnes	1400	43	1.000000	1.556000	1.652000	1402086688	100443	51652	491836977	4853313	1026341133	229
1496368216744288985	splash2x.barnes	1400	43	1.000000	1.561000	1.657000	1401932976	99942	50660	491417658	5154698	1024559264	228
1496368217253390037	splash2x.barnes	1400	43	1.000000	1.562000	1.658000	1401921712	97589	46927	491607495	5267744	1024694799	226
1496368217762521588	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1401913628	99912	52461	491538846	5078864	1025248278	229
