#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349584219306702	automotive_susan_e	1000	54	0.900000	0.615000	0.601000	500617398	744368943	3157	6178	0	1415011	39188366
1481349584728489022	automotive_susan_e	1000	54	0.900000	0.619000	0.605000	500615571	744177539	3158	6180	0	1421683	39201354
1481349585237671385	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500695551	744969916	3157	6178	0	1416938	39205222
1481349585746726289	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500610363	747661247	2988	5840	0	1408927	38995530
1481349586256081735	automotive_susan_e	1000	54	0.900000	0.615000	0.601000	500670814	751719211	2952	5779	0	1394940	38819879
1481349586765185806	automotive_susan_e	1000	54	0.900000	0.619000	0.605000	500647382	750663045	3153	6176	0	1402798	38759193
1481349587274292585	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500710920	743580634	3156	6176	0	1372001	37526620
1481349587783441281	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500614788	743236000	3158	6180	0	1371405	38172634
1481349588292635310	automotive_susan_e	1000	54	0.900000	0.614000	0.600000	500615709	745481554	3157	6178	0	1398513	38993765
1481349588801780298	automotive_susan_e	1000	54	0.900000	0.619000	0.605000	500620053	744985313	3158	6180	0	1392553	38964927
1481349589310971369	automotive_susan_e	1000	54	0.900000	0.614000	0.600000	500614290	744215094	3158	6180	0	1414973	39121118
1481349589820202190	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500614995	744227866	3161	6186	0	1418869	39203371
1481349590329362011	automotive_susan_e	1000	54	0.900000	0.619000	0.605000	500620926	744197255	3159	6182	0	1419865	39202525
1481349590838550207	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500674596	744202372	3161	6186	0	1417832	39192663
1481349591347762444	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500618070	746015236	3089	6043	0	1406104	39104531
1481349591857045599	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500647194	751484991	2855	5582	0	1397560	38778824
1481349592366298962	automotive_susan_e	1000	54	0.900000	0.618000	0.604000	500689563	751277544	3149	6170	0	1400584	38784652
1481349592875578116	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500618970	744050547	3158	6180	0	1378914	37581624
1481349593384854104	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500613690	741876387	3157	6178	0	1367882	37991690
1481349593894675843	automotive_susan_e	1000	54	0.900000	0.615000	0.601000	500622237	744160717	3159	6182	0	1393488	38936784
1481349594404682624	automotive_susan_e	1000	54	0.900000	0.620000	0.605000	470691325	696297518	2818	5492	1	1381475	38263149
1481349594914001237	automotive_susan_s	1000	54	0.900000	0.412000	0.402000	365293545	569263636	1114	1878	4	4042254	62956591
1481349595423151766	automotive_susan_s	1000	54	0.900000	0.644000	0.629000	500687700	799171117	351	674	0	5591719	87605077
1481349595932462087	automotive_susan_s	1000	54	0.900000	0.643000	0.628000	500612040	808498399	193	373	0	5652336	88429873
1481349596441613074	automotive_susan_s	1000	54	0.900000	0.643000	0.628000	500605822	808548995	192	371	0	5657057	88480119
1481349596950904604	automotive_susan_s	1000	54	0.900000	0.643000	0.628000	500599769	801042280	275	524	0	5602808	87781258
