#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402785128932415	splash2x.barnes	1400	38	1.000000	0.821000	0.868000	792810193	62008	4244693	71803966	181733451	207813947	13312736
1496402785639310841	splash2x.barnes	1400	38	1.000000	0.859000	0.908000	1075738662	18848	3638654	72523349	183755600	182403754	20429400
1496402786148822059	splash2x.barnes	1400	39	1.000000	1.212000	1.285000	1401987420	454	3209500	83495495	484919308	340918186	21476304
1496402786658092902	splash2x.barnes	1400	39	1.000000	1.551000	1.647000	1402157952	462	3048221	84203980	491765868	342797367	22606848
1496402787167393579	splash2x.barnes	1400	39	1.000000	1.557000	1.653000	1402125066	452	3054510	84259064	492278647	343494546	22624114
1496402787676571464	splash2x.barnes	1400	39	1.000000	1.558000	1.654000	1402104450	458	3019324	84342005	492370701	343074374	22776849
1496402788185716557	splash2x.barnes	1400	40	1.000000	1.557000	1.653000	1402287208	458	2991371	84207976	492061480	342228400	22898117
1496402788695020567	splash2x.barnes	1400	40	1.000000	1.557000	1.653000	1402097726	458	2990469	84220155	491712092	342006375	22866860
1496402789204331869	splash2x.barnes	1400	40	1.000000	1.558000	1.654000	1402135566	454	2980951	84197846	491524222	341486213	22750915
1496402789713509587	splash2x.barnes	1400	40	1.000000	1.557000	1.653000	1402108212	458	3210208	84063849	490171216	343467216	20688783
1496402790222725972	splash2x.barnes	1400	40	1.000000	1.550000	1.646000	1402119338	458	3291303	84059278	490187576	344200127	19934752
1496402790731905232	splash2x.barnes	1400	40	1.000000	1.547000	1.642000	1228569447	414	2655679	70050506	403315012	283958645	18485151
1496402791241268117	splash2x.barnes	1400	39	1.000000	1.108000	1.174000	1377575827	3105	3129388	96833993	393368381	286748479	18980389
1496402791750441502	splash2x.barnes	1400	40	1.000000	1.551000	1.647000	1402260676	460	3123613	84189764	491595770	343999075	22101053
1496402792259641012	splash2x.barnes	1400	40	1.000000	1.559000	1.655000	1402126400	452	3059443	84074534	491232871	343260467	22980280
1496402792768839981	splash2x.barnes	1400	40	1.000000	1.560000	1.656000	1402100024	458	3017742	84072555	491168214	342859989	23560607
