#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211601614035790	745032417	0	5039541	2019238	3063968	251306861	3037105
1481211602114700516	740588322	0	5028769	2008060	3047565	249313063	3023426
1481211602615290454	731703017	0	4969409	1981145	3015046	246429707	2983322
1481211603115884770	739188238	0	5003229	1993893	3043471	249569731	3019774
1481211603616507215	738233626	0	5011332	2006195	3036178	248639246	3012462
1481211604117153870	743665290	0	5037994	2018373	3056395	250762087	3032468
1481211604617836863	743593645	0	5036725	2018627	3065791	250624346	3036240
1481211605118432274	726094906	0	4910941	1958413	2987045	244817344	2961822
1481211605619041982	735294356	0	4991060	1997794	3019422	247461017	2998188
1481211606119694649	720829413	0	4883212	1949442	2968957	243079301	2941107
1481211606620308571	736592897	0	4990228	1986177	3035944	248271686	3004680
1481211607120909245	737303122	0	5008386	1994512	3036722	248353062	3005817
1481211607621537006	756845207	0	5136959	2045427	3112160	255162928	3089102
1481211608122158144	742879699	0	5031681	2005016	3053921	250561492	3031544
1481211608622774828	739052743	0	4998845	1989896	3038447	249278036	3018525
1481211609123376430	738519090	0	5001801	1994812	3044023	249148478	3017463
1481211609623993036	730794619	0	4957603	1980514	3008034	246211411	2985495
1481211610124614769	719512737	0	4867321	1943700	2965846	242662538	2940697
1481211610625318672	726359905	0	4937033	1971628	2991104	244655353	2967898
1481211611126029036	722906844	0	4918164	1957912	2979608	243632317	2951364
1481211611626626445	743858240	0	5047402	2006916	3064288	250847485	3038518
1481211612127227731	740490892	0	5014408	1997030	3053434	249990007	3024883
1481211612627848937	730033828	0	4956411	1980944	3005774	245996665	2982291
1481211613128460479	731066522	0	4964598	1979665	3013222	246210991	2982783
1481211613629064024	747892763	0	5061289	2026437	3083639	252558583	3056290
1481211614129745571	558087536	0	2666146	1007492	1359874	172209622	1326554
1481211614630351913	931257488	0	2958324	1089684	1315014	282771993	1149246
1481211615130967215	927401304	0	2959095	1087843	1312714	281604604	1146431
1481211615631628812	930271745	0	2959183	1090759	1315828	282651065	1146300
1481211616132328120	929065566	0	2962417	1089655	1316627	282157257	1148179
1481211616633013097	928143688	0	2961898	1089264	1313466	281820379	1144192
1481211617133670993	929338338	0	2965278	1096329	1315024	282309612	1148192
1481211617634331184	927458627	0	2971513	1098325	1314026	281598085	1148682
1481211618135063669	928798118	0	2976103	1098485	1314942	282019512	1150643
1481211618635758573	928455549	0	2980366	1099296	1316106	281898502	1151373
