#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495831160609058642	parsec.freqmine	1	1800	40	1.1	.930	1.113	901502431	9354966	2729666	194893447	3222264	376436541	47503	84513	5356035	77355709	196518292	234060993	15280982
1495831161118848734	parsec.freqmine	1	1800	39	1.1	1.168	1.400	901313495	9212376	2692009	200343080	3178757	395295156	46806	83154	5313827	81442888	202312893	237282128	15067111
1495831161628762316	parsec.freqmine	1	1800	40	1.1	1.175	1.409	891755122	7198140	2137806	174880810	2548126	353569886	36857	69745	4475714	76404731	184754887	207662286	12741335
1495831162138117564	parsec.freqmine	1	1800	39	1.1	1.180	1.414	901178014	254944	119337	78311054	214201	187714204	1244	1982	605576	39935687	77823371	48495799	1008045
1495831162647323259	parsec.freqmine	1	1800	39	1.1	1.019	1.220	901172868	263225	120731	78707260	223421	188476946	1272	2031	616880	39946725	77935996	48760860	1029133
1495831163156617545	parsec.freqmine	1	1800	39	1.1	.985	1.179	901180805	251802	116152	78013493	211615	187100277	1214	1924	634328	39918527	77723929	48877744	1046449
1495831163665827988	parsec.freqmine	1	1800	39	1.1	.987	1.182	901212314	255036	118937	78492893	208548	188316515	1216	1912	617241	39886652	77644133	48568346	1054092
1495831164175326598	parsec.freqmine	1	1800	39	1.1	.986	1.180	901274346	255737	119654	78623747	208497	188497277	1221	1920	646844	39903725	77693490	49040669	1061613
1495831164684628306	parsec.freqmine	1	1800	38	1.1	.987	1.181	901162164	256764	120126	78579714	209648	188492158	1222	1924	595526	39886115	77650301	48203698	1054104
1495831165193935928	parsec.freqmine	1	1800	38	1.1	.985	1.179	901112936	255403	119546	78510113	210962	188312741	1219	1921	653605	39910035	77698933	49158907	1057914
1495831165703424022	parsec.freqmine	1	1800	38	1.1	.986	1.180	901121910	257878	121123	78504676	204710	188129096	1222	1927	593921	39869599	77633609	48169861	1058326
1495831166212672299	parsec.freqmine	1	1800	38	1.1	.986	1.180	901137275	251001	117528	78564097	208322	188417354	1221	1926	639983	39915751	77717552	48982736	1055241
1495831166722127693	parsec.freqmine	1	1800	38	1.1	.986	1.180	901121090	254196	117231	78529912	209926	188348084	1216	1920	654282	39906885	77698718	49186585	1055000
1495831167231445203	parsec.freqmine	1	1800	38	1.1	.986	1.180	901132400	253895	118714	78616972	211551	188500056	1217	1925	642762	39913167	77707854	49001924	1058182
1495831167740769647	parsec.freqmine	1	1800	38	1.1	.986	1.181	901125365	253683	119366	78515894	209997	188376355	1215	1916	623379	39881126	77628003	48648181	1055216
1495831168250186553	parsec.freqmine	1	1800	38	1.1	.986	1.180	901178735	253088	118521	78630425	209820	188491458	1218	1923	638832	39902782	77694873	48913020	1058971
1495831168759486398	parsec.freqmine	1	1800	38	1.1	.987	1.181	901180426	254763	118843	78602741	209202	188533254	1221	1928	642710	39929129	77743896	49016469	1053665
1495831169268788637	parsec.freqmine	1	1800	38	1.1	.985	1.179	901113690	260475	123449	80348138	215984	193048802	1342	3162	1199606	43114996	92251037	73212732	1639391
1495831169777991483	parsec.freqmine	1	1800	39	1.1	.986	1.180	901095554	323255	183629	212341199	645366	1249317078	1994	3147	3806553	46779484	220234475	277446755	5340681
1495831170287218449	parsec.freqmine	1	1800	39	1.2	1.378	1.654	901097500	543056	306950	202058791	2792270	1076740315	4104	10247	3949944	60325001	197292548	227313541	18668200
1495831170796649271	parsec.freqmine	1	1800	39	1.2	1.386	1.662	901104837	1585130	886274	199869383	8010933	469609331	14003	30430	2354962	114158441	201757619	113436293	32038432
1495831171305839982	parsec.freqmine	1	1800	39	1.1	1.101	1.319	901157892	734003	429923	272922248	4378178	586898765	6436	7959	5481181	108254985	319239401	205997471	16628890
1495831171814948989	parsec.freqmine	1	1800	39	1.1	1.168	1.399	901073390	116291	27661	506240695	804194	985476933	127	244	10170582	151428775	522008375	372838070	2757557
1495831172324049441	parsec.freqmine	1	1800	40	1.2	1.412	1.695	901194366	111397	27381	545452754	690764	1025396255	120	224	10171580	153750714	558398816	395910405	1463956
1495831172833085795	parsec.freqmine	1	1800	40	1.2	1.437	1.724	901133489	109996	26136	553122887	713833	1029198287	114	226	10250104	151480058	543809822	385576657	2217008
1495831173342174778	parsec.freqmine	1	1800	40	1.2	1.439	1.727	901155227	116170	28392	515606425	908291	981298674	122	246	11124552	149358120	530047305	391687699	2216079
1495831173851290705	parsec.freqmine	1	1800	40	1.2	1.420	1.704	901091874	112925	27419	551584900	691109	1031662228	121	226	9612613	154847465	565274386	391689887	1589720
