#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345132388192331	750885465	358830896	32268	32399	0	5979563	63443598
1481345132888908886	751069796	359050956	32270	32398	0	5976787	63464360
1481345133389545274	750953862	358810825	32287	32416	0	5976665	63426721
1481345133890221995	751013529	358872696	32264	32398	0	5972707	63451850
1481345134390826257	750908625	359009204	32278	32406	0	5978646	63468807
1481345134891458812	750947143	358819274	32272	32401	0	5971090	63431810
1481345135392077866	750921873	358822673	32272	32400	0	5979789	63433423
1481345135892693212	750923944	358862515	32271	32401	0	5967418	63433050
1481345136393294641	750892120	358966596	32292	32422	0	5978507	63449704
1481345136893906196	748853396	357625776	32137	32270	0	5954628	63255636
1481345137394506875	748648375	357955811	32204	32335	0	5963414	63258834
1481345137895187388	751018060	358922963	32263	32394	0	5968790	63453276
1481345138395781567	750718616	358746685	32265	32399	0	5960006	63426761
1481345138896391538	750920744	358907629	32273	32403	0	5977217	63451116
1481345139396983676	750814844	359043408	32276	32406	0	5974274	63476427
1481345139897602647	748702539	358378608	32216	32341	0	5949405	63336487
1481345140398535035	751400008	359303594	32307	32436	0	5982229	63524275
1481345140899140048	750921487	358982241	32304	32433	0	5969377	63458764
1481345141399780477	750956585	359195698	32288	32415	0	5957757	63519885
1481345141900471573	751032136	359207107	32308	32438	0	5970495	63485179
1481345142401090669	750927338	359178000	32306	32434	0	5965942	63502885
1481345142901802140	750033846	358432381	32220	32352	0	5957787	63359632
1481345143402448653	750264768	358752898	32259	32387	0	5969020	63424445
1481345143903119291	749453138	358021661	32180	32309	0	5961405	63301826
1481345144403772095	750980484	359010668	32292	32417	0	5978888	63463451
1481345144904399400	750937284	359122446	32291	32420	0	5967692	63483807
1481345145405051996	750978738	359074702	32308	32437	0	5978536	63462775
1481345145905709050	750973594	358599252	32228	32360	0	5973415	63424422
