#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211485455397486	automotive_susan_s	1	2000	54	1.300000	1.907000	2.530000	1001219005	0	211644	93775	155200	520033840	95237
1481211485964436817	automotive_susan_s	1	2000	54	1.300000	1.917000	2.545000	1001184754	0	210962	90475	155136	520252582	94708
1481211486473488895	automotive_susan_s	1	2000	54	1.300000	1.905000	2.529000	1001175015	0	211960	90886	154280	520159019	95180
1481211486982604558	automotive_susan_s	1	2000	54	1.300000	1.914000	2.541000	1001157830	0	152144	66884	122318	522849040	69655
1481211487491593386	automotive_susan_s	1	2000	54	1.300000	1.910000	2.536000	1001304280	0	213490	91781	155294	520113002	95081
1481211488000675257	automotive_susan_s	1	2000	54	1.300000	1.906000	2.531000	1001315126	0	158519	68716	121219	522854516	70116
1481211488509933708	automotive_susan_s	1	2000	54	1.300000	1.904000	2.528000	1001190696	0	231306	92032	155952	519756147	95855
1481211489019072119	automotive_susan_s	1	2000	54	1.300000	1.917000	2.545000	1001218880	0	213305	90623	154969	520329378	95002
1481211489528122569	automotive_susan_s	1	2000	54	1.300000	1.904000	2.528000	1001209380	0	160439	69647	120908	522512756	70969
1481211490037274437	automotive_susan_s	1	2000	54	1.300000	1.913000	2.538000	1001205964	0	211049	88887	153904	520221932	94340
1481211490546282425	automotive_susan_s	1	2000	54	1.300000	1.907000	2.530000	1001186356	0	158450	67444	121120	522693471	70428
1481211491055350375	automotive_susan_s	1	2000	54	1.300000	1.908000	2.531000	1001199738	0	210551	90551	153485	520050947	95131
1481211491564405150	automotive_susan_s	1	2000	54	1.300000	1.903000	2.527000	1001205545	0	156951	66951	120023	522892123	70061
1481211492073516972	automotive_susan_s	1	2000	54	1.300000	1.902000	2.523000	651323267	0	577202	222065	537305	296439834	407295
1481211492582808576	bzip2d	1	2000	52	1.300000	1.177000	1.559000	1001268269	0	1116184	471850	4007235	227001150	3427130
1481211493092050228	bzip2d	1	2000	52	1.300000	1.473000	1.953000	1001212220	0	1070890	482997	3503209	261574856	2899857
1481211493601434576	bzip2d	1	2000	52	1.300000	1.546000	2.049000	1001330924	0	1136584	498329	3834073	241235343	3276711
1481211494110644974	bzip2d	1	2000	52	1.300000	1.472000	1.951000	1001262934	0	1073576	492885	3651239	247910388	3040804
1481211494619806984	bzip2d	1	2000	52	1.300000	1.534000	2.034000	1001200126	0	1128092	503595	3684999	254754215	3135464
1481211495129000628	bzip2d	1	2000	51	1.300000	1.537000	2.038000	1001199086	0	1089129	485218	3793880	234308040	3187505
1481211495638207673	bzip2d	1	2000	51	1.300000	1.434000	1.901000	1001214790	0	1106219	509044	3541562	268819947	2996050
1481211496147575936	bzip2d	1	2000	51	1.300000	1.420000	1.882000	1001399471	0	1121446	485565	3946318	220105592	3330216
